Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/8/23 0:00,50,50,229,227,FALSE
1/8/23 0:02,50,50,229,227,FALSE
1/8/23 0:04,50,50,229,227,FALSE
1/8/23 0:06,50.1,50,229,227,FALSE
1/8/23 0:08,50,50,229,227,FALSE
1/8/23 0:10,50,50,228,227,FALSE
1/8/23 0:12,50,50,229,227,FALSE
1/8/23 0:14,50,50,229,228,FALSE
1/8/23 0:16,50,50,229,228,FALSE
1/8/23 0:18,49.9,50,228,228,FALSE
1/8/23 0:20,50,50,229,228,FALSE
1/8/23 0:22,50,50,229,227,FALSE
1/8/23 0:24,50,50,229,227,FALSE
1/8/23 0:26,50,50,230,227,FALSE
1/8/23 0:28,50,50,230,227,FALSE
1/8/23 0:30,50.1,50,230,227,FALSE
1/8/23 0:32,50,50,230,227,FALSE
1/8/23 0:34,50,50,230,227,FALSE
1/8/23 0:36,50,50,229,227,FALSE
1/8/23 0:38,50,50,230,227,FALSE
1/8/23 0:40,50,50,230,227,FALSE
1/8/23 0:42,50,50,230,227,FALSE
1/8/23 0:44,50,50,230,227,FALSE
1/8/23 0:46,50,50,230,227,FALSE
1/8/23 0:48,50,49.9,229,228,FALSE
1/8/23 0:50,50,50,230,227,FALSE
1/8/23 0:52,50,50.1,230,228,FALSE
1/8/23 0:54,50,50,230,228,FALSE
1/8/23 0:56,50,50,230,228,FALSE
1/8/23 0:58,50,50,230,228,FALSE
1/8/23 1:00,50,50,230,228,FALSE
1/8/23 1:02,50,50,229,228,FALSE
1/8/23 1:04,50,50.1,230,228,FALSE
1/8/23 1:06,50,50,230,228,FALSE
1/8/23 1:08,50,50,230,228,FALSE
1/8/23 1:10,50,50,230,228,FALSE
1/8/23 1:12,50,50,230,228,FALSE
1/8/23 1:14,50,50,230,228,FALSE
1/8/23 1:16,50,50,229,228,FALSE
1/8/23 1:18,50,50,230,228,FALSE
1/8/23 1:20,50,50,230,228,FALSE
1/8/23 1:22,50,50,230,228,FALSE
1/8/23 1:24,50,50.1,229,228,FALSE
1/8/23 1:26,50,49.9,230,228,FALSE
1/8/23 1:28,50,50,229,228,FALSE
1/8/23 1:30,50,50,230,228,FALSE
1/8/23 1:32,50,50,229,228,FALSE
1/8/23 1:34,50,50.1,230,228,FALSE
1/8/23 1:36,50,50,229,228,FALSE
1/8/23 1:38,50,50,229,228,FALSE
1/8/23 1:40,50,50,229,228,FALSE
1/8/23 1:42,50,50,229,228,FALSE
1/8/23 1:44,50,50,229,228,FALSE
