"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-15 00:00:00,49.9,49.9,228,228
2023-01-15 00:02:00,50.0,50.0,228,228
2023-01-15 00:04:00,49.9,49.9,228,228
2023-01-15 00:06:00,49.8,49.9,226,226
2023-01-15 00:08:00,50.0,50.0,228,229
2023-01-15 00:10:00,49.9,49.9,228,228
2023-01-15 00:12:00,49.8,49.8,227,227
2023-01-15 00:14:00,49.9,50.0,228,228
2023-01-15 00:16:00,49.7,49.8,228,228
2023-01-15 00:18:00,50.0,50.0,228,228
2023-01-15 00:20:00,49.9,49.9,228,228
2023-01-15 00:22:00,49.8,49.9,225,226
2023-01-15 00:24:00,49.9,50,226,226
2023-01-15 00:26:00,50.1,50.1,228,228
2023-01-15 00:28:00,50.0,49.9,226,226
2023-01-15 00:30:00,50.1,50.1,226,226
2023-01-15 00:32:00,49.8,49.8,226,227
2023-01-15 00:34:00,49.9,49.9,226,226
2023-01-15 00:36:00,49.9,49.9,227,227
2023-01-15 00:38:00,50.1,50.0,227,228
2023-01-15 00:40:00,49.7,49.8,227,227
2023-01-15 00:42:00,49.8,49.8,226,226
2023-01-15 00:44:00,49.9,49.9,226,226
2023-01-15 00:46:00,50.0,50.0,226,227
2023-01-15 00:48:00,50.0,50.0,226,226
2023-01-15 00:50:00,50.0,50.0,226,226
2023-01-15 00:52:00,50.0,49.9,226,226
2023-01-15 00:54:00,49.9,49.9,226,226
2023-01-15 00:56:00,49.8,49.7,228,228
2023-01-15 00:58:00,49.9,49.9,228,228
2023-01-15 01:00:00,49.8,49.8,228,228
2023-01-15 01:02:00,49.8,49.8,228,228
2023-01-15 01:04:00,49.9,50.0,228,229
2023-01-15 01:06:00,49.8,49.9,228,228
2023-01-15 01:08:00,49.9,49.9,228,228
2023-01-15 01:10:00,49.9,49.9,230,230
2023-01-15 01:12:00,50.0,49.9,230,230
2023-01-15 01:14:00,49.9,49.9,229,230
2023-01-15 01:16:00,49.9,50.0,229,230
2023-01-15 01:18:00,50.1,50.1,230,230
2023-01-15 01:20:00,50.1,50.1,229,230
2023-01-15 01:22:00,50.0,50.0,230,230
2023-01-15 01:24:00,50.3,50.2,229,230
2023-01-15 01:26:00,50.0,49.9,227,228
2023-01-15 01:28:00,50.0,49.9,228,228
2023-01-15 01:30:00,49.9,49.9,228,228
2023-01-15 01:32:00,49.9,49.8,228,228
2023-01-15 01:34:00,50.0,50.0,228,228
2023-01-15 01:36:00,49.9,49.9,228,228
2023-01-15 01:38:00,49.9,49.9,228,228
2023-01-15 01:40:00,50.0,50.0,228,228
2023-01-15 01:42:00,50.0,49.9,228,228
2023-01-15 01:44:00,50.0,50.0,228,228
2023-01-15 01:46:00,50.1,50.1,228,228
2023-01-15 01:48:00,50.1,50.0,227,227
2023-01-15 01:50:00,49.9,49.9,227,227
2023-01-15 01:52:00,49.9,49.9,229,229
2023-01-15 01:54:00,50.1,50.0,229,229
2023-01-15 01:56:00,49.9,49.8,229,229
2023-01-15 01:58:00,49.7,49.7,228,229
2023-01-15 02:00:00,49.9,50.0,229,229
2023-01-15 02:02:00,49.8,49.8,230,230
2023-01-15 02:04:00,49.9,49.9,229,229
2023-01-15 02:06:00,49.8,49.8,229,230
2023-01-15 02:08:00,50.1,50.1,229,230
2023-01-15 02:10:00,50.2,50.2,230,230
2023-01-15 02:12:00,49.9,49.8,229,230
2023-01-15 02:14:00,49.8,49.8,230,230
2023-01-15 02:16:00,49.8,49.8,228,229
2023-01-15 02:18:00,50.0,50.1,231,231
2023-01-15 02:20:00,49.9,50.0,230,231
2023-01-15 02:22:00,49.9,49.9,230,229
2023-01-15 02:24:00,49.9,49.9,231,231
2023-01-15 02:26:00,50.1,50.2,228,228
2023-01-15 02:28:00,50.6,50.5,228,228
2023-01-15 02:30:00,50.0,50.0,229,229
2023-01-15 02:32:00,50.0,50.1,228,229
2023-01-15 02:34:00,49.9,49.9,228,228
2023-01-15 02:36:00,50.1,50.1,228,228
